text,target
John Boos,Not Dark Pattern
Limited time offer,Urgency
 Bar Stools,Not Dark Pattern
"Get inspiration, new arrivals and the latest offers to your inbox.",Not Dark Pattern
11 people have purchased this item,Social Proof
2049 sold in the last 7 days,Social Proof
I don't like discounts,Misdirection
"no thanks, I like paying full price",Misdirection
232 people are viewing this offer!,Social Proof
02 DAYS :23 HOURS :00 MINS :54 SECS,Urgency
1DAYS 04 HOURS 17 MINUTES 18 SECONDS,Urgency
LEGO Sondersets Saison Polybags Promotionals ExklusiveOpens in a new window or tab,Not Dark Pattern
Custom Kids Headwear,Not Dark Pattern
"N++ is all about using your momentum to complete levels and get high scores, but in this sci-fi world, there‚Äö√Ñ√¥s a slew of inadvertently homicidal enemy robots trying to prevent you from completing your goal.",Not Dark Pattern
Sale ending in 0 days 04 hours 12 minutes 10 seconds,Urgency
Return my item,Not Dark Pattern
Baby Size Guide,Not Dark Pattern
127 People viewed this product this week,Social Proof
Ô£ø√º√Æ‚Ä¢ 2 people are looking right now,Social Proof
 Drive and Focus ,Not Dark Pattern
Enter your email VIEW MY CODE OFFER EXPIRES IN: 0 minutes 00 seconds EXTRA 10% OFF,Urgency
161 people have viewed this item,Social Proof
Only 2 left.,Scarcity
Hurry! Only 7 left in stock.,Scarcity
Hot Offer. Limited Time,Urgency
 Gameday Collection ,Not Dark Pattern
Whoops! ,Not Dark Pattern
Only 1 Left in Stock!,Scarcity
Memory Cards,Not Dark Pattern
"Rick in Columbia, United States purchased a",Social Proof
9 items left,Scarcity
Hurry up! Only 11 items left,Scarcity
Welcome Newcomer,Not Dark Pattern
"Debby in Harpers Ferry, United States just bought: Icing Pen Decorating Tool",Social Proof
Grab yourself a bargain!,Misdirection
We are not currently accepting orders from outside of the UK.,Not Dark Pattern
Hurry! Only 1 left!,Scarcity
NRA Whittington Center Store,Not Dark Pattern
"No Thanks, I prefer not to have a protection plan",Misdirection
New Vintage Stylish Belt Watch - Women,Not Dark Pattern
31 have it in their cart,Social Proof
 First to know about upcoming tastings & events ,Not Dark Pattern
 Why buy from us ,Not Dark Pattern
Plus Size Shirts and Blouses,Not Dark Pattern
People also buy this with,Misdirection
HURRY! ONLY 31 LEFT IN STOCK.,Scarcity
 A Date With Duchess ,Not Dark Pattern
Only 3 left.,Scarcity
Wish Your Loved Ones Instantly with Ferns N Petals International Services,Not Dark Pattern
"Order now, only 2 left in stock!",Scarcity
 PopGrip MagSafe Refine by Product Type: PopGrip MagSafe ,Not Dark Pattern
What's New By Category,Not Dark Pattern
 Active Filters English (United States) English (United States) ‚Äö√∫√≤ Remove Filter ,Not Dark Pattern
"Someone in Chambersburg, Pennsylvania purchased",Social Proof
‚Äö√Ñ‚à´ Sub Ohm Juice,Not Dark Pattern
2day 13:49:51 Left,Urgency
Hurry up! Sale Ends in,Urgency
B-Series Truck remotes,Not Dark Pattern
Red Tops,Not Dark Pattern
 JOINT Oil ,Not Dark Pattern
Limited Stock,Scarcity
Orthopedic,Not Dark Pattern
Retro Cordless Edison Bulb Lamp,Not Dark Pattern
93 PEOPLE HAVE BOUGHT THIS PRODUCT TODAY,Social Proof
Speed Lace Accessory Kit - Silver,Not Dark Pattern
"No, thanks. I'd rather pay full price.",Misdirection
LIMITED TIME OFFER : Grab a Matching Pair & save up 60%!,Misdirection
Americas,Not Dark Pattern
Here to help,Not Dark Pattern
 Comfy and looks great ,Not Dark Pattern
Creators' Council,Not Dark Pattern
Yes! Upgrade my purchase,Misdirection
"Jeremy in Warroad, United States purchased a",Social Proof
Kick those cravings,Not Dark Pattern
 Brushes + Tools ,Not Dark Pattern
Free climate compensated shipping & returns,Not Dark Pattern
Deal expires in: 03 hrs 25 mins 22 sec,Urgency
FREE SHIPPING // FOR A LIMITED TIME ONLY,Urgency
 Read More ,Not Dark Pattern
"Location: Kansas City, MO",Not Dark Pattern
"Find your local store, view opening hours and find out where you can get your latest pickup in-store!",Not Dark Pattern
only 5 left in stock!,Scarcity
Casual Wear,Not Dark Pattern
40% OFF EVERYTHING* ENTER: 40PLT + FREE SHIPPING OVER $80 HURRY! LIMITED TIME ONLY,Urgency
 Resend One time Pin ,Not Dark Pattern
Case Material,Not Dark Pattern
"Natalie in Graham, United States purchased a FREE BTS Answer Magic Pillow about 1 hour ago",Social Proof
tedpullin,Not Dark Pattern
Custom Women's Apparel,Not Dark Pattern
Ask a Question,Not Dark Pattern
Discontinued Item,Not Dark Pattern
No I'd rather not hear about exclusive offers and discounts.,Misdirection
"No thanks, I‚Äö√Ñ√¥d rather pay more",Misdirection
Only 3 left in stock!,Scarcity
 Don't leave without taking discount ,Not Dark Pattern
View your order history,Not Dark Pattern
What people are saying about us...,Social Proof
Hydration,Not Dark Pattern
Act now and save $12.99. Limited time only!,Urgency
Only 13 left!,Scarcity
Tick here if you do not want to receive Promotional Offers by Post Tick here if you do wish to receive Promotional Offers by email and/or SMS Tick here if you would like to receive Offers from selected third parties,Misdirection
40% OFF EVERYTHING* ENTER: 40PLT + FREE SHIPPING ON ALL ORDERS OVER $80 ,Urgency
about us,Not Dark Pattern
 Microsoft Xbox One S Wireless Controller ¬¨¬™ ,Not Dark Pattern
Carports & Garages,Not Dark Pattern
"Hurry, only 5 left",Scarcity
"After trying several other shades of red, I‚Äö√Ñ√¥ve tried this one and just love it. It is the perfect shade of brown with beautiful red highlights, very rich color, and very beautiful.",Not Dark Pattern
No thanks! I don't like deals,Misdirection
 Ireland EUR,Not Dark Pattern
Fashion Forward,Not Dark Pattern
Optics and Mounts,Not Dark Pattern
Don't Know Pincode?,Not Dark Pattern
"SALE ENDS IN 19 DAYS, 9 HOURS, 50 MINUTES, 54 SECONDS",Urgency
Your order is reserved for 29:52 minutes!,Urgency
"NA-KD, White",Not Dark Pattern
Game Extraction & Prep,Not Dark Pattern
Golf Remotes,Not Dark Pattern
Baby Girl Shoes,Not Dark Pattern
 Books About Indian Culture ,Not Dark Pattern
"For any other inquiries, Click here",Not Dark Pattern
Round Boards,Not Dark Pattern
LIMITED TIME ONLY,Urgency
Only 9 left!,Scarcity
"Mher from San Angelo, TX Recently made a purchase with Crossrope",Social Proof
3 left in stock,Scarcity
No thanks. I love chaos!,Misdirection
 By Doug,Not Dark Pattern
"No thanks, I like paying full price",Misdirection
Show Cart,Not Dark Pattern
Lean To Sheds,Not Dark Pattern
 Cordless Phones For Seniors ,Not Dark Pattern
ONLY 9 LEFT,Scarcity
"No Thanks, I don't want official software at the best price.",Misdirection
 Bra Panty Set ,Not Dark Pattern
DressesFootwearHatsHoodies & SweatshirtsJerseysPantsSleepwear & UnderwearSwim CollectionT-ShirtsSale Items- View All -,Not Dark Pattern
Only 4 left in stock,Scarcity
Trending Players,Not Dark Pattern
10 Left in stock,Scarcity
"Hurry, ends tonight!",Urgency
Only 3 left in stock!,Urgency
Offer expires at midnight!,Urgency
Limited time offer!,Urgency
Act now!,Urgency
Don't miss out!,Urgency
Sale ends soon!,Urgency
Only a few hours left!,Urgency
Last chance!,Urgency
Get it before it's gone!,Urgency
Only available today!,Urgency
Limited stock available!,Urgency
While supplies last!,Urgency
Ending soon!,Urgency
Only for the next 24 hours!,Urgency
Offer ends in [X] minutes!,Urgency
Flash sale!,Urgency
Final hours!,Urgency
Almost gone!,Urgency
One-time offer!,Urgency
Today only!,Urgency
Exclusive deal ends today!,Urgency
Act fast!,Urgency
Only a few left!,Urgency
Limited edition!,Urgency
Only [X] items left!,Urgency
Time is running out!,Urgency
Expires soon!,Urgency
Get it now!,Urgency
Don't wait!,Urgency
Offer valid today only!,Urgency
Limited availability!,Urgency
Closing soon!,Urgency
Ends at midnight!,Urgency
Last chance to save!,Urgency
Exclusive offer for today!,Urgency
Only [X] hours left!,Urgency
Offer ends today!,Urgency
Limited offer!,Urgency
Ends in [X] minutes!,Urgency
Hurry up!,Urgency
Going fast!,Urgency
Offer expires soon!,Urgency
Only today!,Urgency
Last few hours!,Urgency
Final call!,Urgency
Last day to save!,Urgency
Offer ends in [X] hours!,Urgency
Only available now!,Urgency
Almost out of stock!,Urgency
Limited time only!,Urgency
Ends tomorrow!,Urgency
"Hurry, while it lasts!",Urgency
Final day!,Urgency
Act immediately!,Urgency
This won't last long!,Urgency
Get it before it's too late!,Urgency
Only until midnight!,Urgency
Final offer!,Urgency
Sale ends in [X] hours!,Urgency
Only [X] left!,Urgency
Limited quantities!,Urgency
Offer ends today at midnight!,Urgency
Don't miss your chance!,Urgency
Limited time savings!,Urgency
Get yours before they're gone!,Urgency
Only for a limited time!,Urgency
"Sale ends soon, act fast!",Urgency
Last chance to get this deal!,Urgency
"Hurry, only [X] left!",Urgency
Offer expires in [X] hours!,Urgency
While they last!,Urgency
"Ends in [X] hours, hurry!",Urgency
Limited supply!,Urgency
Final hours of the sale!,Urgency
Only [X] remaining!,Urgency
Sale ends in [X] minutes!,Urgency
Get it before it's sold out!,Urgency
"Hurry, sale ends soon!",Urgency
Last chance offer!,Urgency
"Ends today, don't wait!",Urgency
Only available for [X] more hours!,Urgency
"Hurry, only [X] items left!",Urgency
Final day to save big!,Urgency
"Limited time, act fast!",Urgency
"Offer ends in [X] minutes, hurry!",Urgency
"Only a few left, buy now!",Urgency
Final sale!,Urgency
"Hurry, offer ends soon!",Urgency
Last few available!,Urgency
Offer expires in [X] minutes!,Urgency
Only available while supplies last!,Urgency
"Ends tonight, act now!",Urgency
Limited time discount!,Urgency
"Get it now, only [X] left!",Urgency
Final chance to save!,Urgency
"Hurry, before it's gone!",Urgency
"Sale ends today, hurry!",Urgency
Last chance to buy!,Urgency
Only [X] hours left to get this deal!,Urgency
"50% off, for a limited time",Misdirection
Accept limited offer,Misdirection
Acceptance implied,Misdirection
Access fee,Misdirection
Account preferences,Misdirection
Account setup charge,Misdirection
Act now,Misdirection
"Act now, save big",Misdirection
Action required,Misdirection
Activate membership,Misdirection
Activation fees,Misdirection
Add premium benefits,Misdirection
Add to order,Misdirection
Additional charges may apply,Misdirection
Additional info,Misdirection
Additional service fees,Misdirection
Adjust your plan,Misdirection
Advanced settings,Misdirection
Are you sure?,Misdirection
Attention required,Misdirection
Auto-consent enabled,Misdirection
Automatic consent,Misdirection
Auto-renewal included,Misdirection
Award-winning,Misdirection
Back to offers,Misdirection
Back to safety,Misdirection
Basic functionality,Misdirection
Basic option,Misdirection
Best choice for you,Misdirection
Best deal ever,Misdirection
Best in class,Misdirection
Best seller,Misdirection
Best value,Misdirection
Best-seller this week,Misdirection
Better luck next time,Misdirection
Big savings for today,Misdirection
Billing information needed,Misdirection
Bonus included,Misdirection
Brought to you by,Misdirection
Build your package,Misdirection
"Buy now, save more",Misdirection
"By clicking, you agree",Misdirection
"By using this, you agree",Misdirection
Call customer support,Misdirection
Cancel action,Misdirection
Cancel via email,Misdirection
Cancellation charge,Misdirection
Cancellation form required,Misdirection
Certain restrictions apply,Misdirection
Change plan,Misdirection
Check all that apply,Misdirection
Check it out,Misdirection
Check options,Misdirection
Choose your package,Misdirection
Choose your perks,Misdirection
Choose your subscription,Misdirection
Choose your upgrade,Misdirection
Claim your reward,Misdirection
Click here for more details,Misdirection
Click to learn more,Misdirection
Collect data for better experience,Misdirection
Complete now,Misdirection
Complete your profile,Misdirection
Complimentary access,Misdirection
Complimentary,Misdirection
Confirm now,Misdirection
Confirm without upgrade,Misdirection
Connection fees,Misdirection
Consent required,Misdirection
Contact us to cancel,Misdirection
Continue shopping,Misdirection
Continue to next step,Misdirection
Continue without benefit,Misdirection
Continue without changes,Misdirection
Continue without saving,Misdirection
Continue without savings,Misdirection
Continue without updates,Misdirection
Continue,Misdirection
Cookie consent,Misdirection
Critical update,Misdirection
Curated content,Misdirection
Customers also bought,Misdirection
Customers love this,Misdirection
Customize your experience,Misdirection
Customize your order,Misdirection
Data retention policies,Misdirection
Deal ends in 5 minutes,Misdirection
Decline additional benefits,Misdirection
Decline at your own risk,Misdirection
Default settings applied,Misdirection
Demand is high,Misdirection
Disable improvements,Misdirection
Disable protection,Misdirection
Discover more,Misdirection
Do not enhance my experience,Misdirection
Don√≠t enjoy discounts,Misdirection
Don√≠t leave without checking,Misdirection
Don√≠t miss out,Misdirection
Don√≠t miss this deal,Misdirection
Don√≠t miss this,Misdirection
Don√≠t save my progress,Misdirection
Don√≠t walk away,Misdirection
Don't be left out,Misdirection
Downgrade my account,Misdirection
Downgrade service level,Misdirection
Edit your membership,Misdirection
Editor√≠s recommendation,Misdirection
Editor's choice,Misdirection
Enable auto-billing,Misdirection
Enable continuous access,Misdirection
End service manually,Misdirection
Ends today,Misdirection
Enhance your personalization,Misdirection
Enhanced features,Misdirection
Enjoy exclusive content,Misdirection
Enroll in program,Misdirection
Enroll me automatically,Misdirection
Exclusive access,Misdirection
Exclusive deal,Misdirection
Exclusive discount,Misdirection
Exclusive upgrade offer,Misdirection
Exit now,Misdirection
Expand to read more,Misdirection
Explore choices,Misdirection
Extra charges,Misdirection
Featured item,Misdirection
Featured offer,Misdirection
Featured post,Misdirection
Fill out cancellation form,Misdirection
Find out more,Misdirection
Finish setup,Misdirection
"First come, first served",Misdirection
Flash sale,Misdirection
For personalization purposes,Misdirection
For user satisfaction,Misdirection
Free download,Misdirection
Free enhancements included,Misdirection
Free sample included,Misdirection
"Free today, charges apply later",Misdirection
Free trial,Misdirection
Free upgrade,Misdirection
"Free, with conditions",Misdirection
Frequently bought together,Misdirection
Full terms,Misdirection
Functionality may be limited,Misdirection
Get ahead of others,Misdirection
Get extra perks,Misdirection
Get it while discounted,Misdirection
Get it while you can,Misdirection
Get started for free,Misdirection
Get started,Misdirection
Go to cart,Misdirection
Go to payment,Misdirection
Go to previous,Misdirection
Go without reward,Misdirection
Handling fees extra,Misdirection
High demand product,Misdirection
Highest rated,Misdirection
Highly recommended,Misdirection
Hot deals,Misdirection
Hot pick,Misdirection
Hurry before it√≠s too late,Misdirection
I prefer fewer features,Misdirection
I√≠d rather not save,Misdirection
I√≠d rather pay more,Misdirection
I√≠m not interested in rewards,Misdirection
Immediate attention needed,Misdirection
Implicit consent,Misdirection
Important info missing,Misdirection
Improve targeting,Misdirection
Improving service experience,Misdirection
In high demand,Misdirection
In partnership with,Misdirection
Initial service free,Misdirection
Installation charges,Misdirection
Join loyalty program,Misdirection
Join mailing list automatically,Misdirection
Join the community,Misdirection
Join the VIP group,Misdirection
Just for you,Misdirection
Keep current settings,Misdirection
Keep me informed,Misdirection
Lacks enhancements,Misdirection
Last chance,Misdirection
Late fees apply,Misdirection
Learn about upgrades,Misdirection
Learn more,Misdirection
Leave promotion,Misdirection
Leave this page,Misdirection
Less popular,Misdirection
Limited edition,Misdirection
Limited features,Misdirection
Limited interest spots,Misdirection
Limited offer for VIPs,Misdirection
Limited offer,Misdirection
Limited service provided,Misdirection
Limited stock,Misdirection
Limited-time reduction,Misdirection
Location tracking enabled,Misdirection
Lowest price,Misdirection
Maintenance fees,Misdirection
Manage subscription,Misdirection
Manage your billing,Misdirection
Marketing emails enabled,Misdirection
May affect quality,Misdirection
May not include all features,Misdirection
Membership fees apply,Misdirection
Minimal value,Misdirection
Miss out on rewards,Misdirection
Missing details,Misdirection
Modify subscription,Misdirection
Monthly billing,Misdirection
Monthly usage fee,Misdirection
More features await,Misdirection
More options,Misdirection
Most popular,Misdirection
Most talked about,Misdirection
Most trusted,Misdirection
Most valuable choice,Misdirection
Must-have,Misdirection
Navigate away,Misdirection
Need assistance? Cancel here,Misdirection
New arrivals,Misdirection
Next step: complete,Misdirection
Next,Misdirection
No cost at signup,Misdirection
No fees initially,Misdirection
No need for perks,Misdirection
"No thanks, skip",Misdirection
No upfront cost,Misdirection
"No, I prefer to miss out",Misdirection
"No, thanks",Misdirection
Not all options available,Misdirection
Offer expires soon,Misdirection
Only 1 left,Misdirection
Only a few left,Misdirection
Only available today,Misdirection
Only basic functions,Misdirection
Only for VIPs: special deal,Misdirection
Only Y people left,Misdirection
Opt out of special offers,Misdirection
Optimize recommendations,Misdirection
Optimize your plan,Misdirection
Opt-out of savings,Misdirection
Opt-out of updates,Misdirection
Others are watching,Misdirection
Performance updates,Misdirection
Personalize now,Misdirection
Pick a delivery option,Misdirection
Pick a payment plan,Misdirection
Pick from these choices,Misdirection
Pick your discount,Misdirection
Popular choice,Misdirection
Popular with shoppers,Misdirection
Potential restrictions,Misdirection
Pre-checked agreement,Misdirection
Premium option,Misdirection
Presented by,Misdirection
Price drop,Misdirection
Priority access,Misdirection
Privacy agreement,Misdirection
Privacy details,Misdirection
Proceed anyway,Misdirection
Proceed means acceptance,Misdirection
Proceed to checkout,Misdirection
Proceed to next step,Misdirection
Proceed without changes,Misdirection
Proceed without promo,Misdirection
Proceed,Misdirection
Profile incomplete,Misdirection
Profile needs upgrade,Misdirection
Program compliance,Misdirection
Promoted content,Misdirection
Read small print,Misdirection
Receive discounts,Misdirection
Receive notifications,Misdirection
Receive personalized offers,Misdirection
Receive promotional updates,Misdirection
Receive updates,Misdirection
Recommended for you,Misdirection
Recurring charges,Misdirection
Reduced for today only,Misdirection
Reduced performance,Misdirection
Reject savings,Misdirection
Renew or cancel,Misdirection
Request cancellation,Misdirection
Return to home,Misdirection
Review options,Misdirection
Risk-free,Misdirection
Security alert,Misdirection
See details,Misdirection
Select a free gift,Misdirection
Select a membership,Misdirection
Select all,Misdirection
Select enhancements,Misdirection
Select options,Misdirection
Select your experience,Misdirection
Send cancellation request,Misdirection
Send me alerts,Misdirection
Service charges,Misdirection
Service enhancements,Misdirection
Service may be interrupted,Misdirection
Service optimization,Misdirection
Setup costs,Misdirection
Setup incomplete,Misdirection
Shipping fees may apply,Misdirection
Show hidden details,Misdirection
Sign up free,Misdirection
Sign up now,Misdirection
Skip advanced security,Misdirection
Skip premium features,Misdirection
Skip the benefits,Misdirection
Skip this option,Misdirection
Skip this step,Misdirection
Special offer,Misdirection
Sponsored by,Misdirection
Stand out from others,Misdirection
Standard choice,Misdirection
Standard offering,Misdirection
Start here,Misdirection
Start over,Misdirection
Stay with standard,Misdirection
Submit,Misdirection
Subpar selection,Misdirection
Subscribe for news,Misdirection
Subscribe me,Misdirection
Subscribe to marketing,Misdirection
Subscription required,Misdirection
Suggested post,Misdirection
Support required for cancellation,Misdirection
System defaults,Misdirection
Take action,Misdirection
Take the next step,Misdirection
Taxes not included,Misdirection
Technical upgrade,Misdirection
Terms and conditions apply,Misdirection
Think again before you go,Misdirection
This is your last chance,Misdirection
This is your last opportunity,Misdirection
This item is almost sold out,Misdirection
This offer is trending,Misdirection
This post is sponsored,Misdirection
Time is running out,Misdirection
Time-sensitive,Misdirection
To customize experience,Misdirection
To improve suggestions,Misdirection
Today√≠s special,Misdirection
Top pick,Misdirection
Top rated,Misdirection
Top-rated feature,Misdirection
Transaction fees,Misdirection
Trending now,Misdirection
Trial period included,Misdirection
Turn down special offers,Misdirection
Unfinished setup,Misdirection
Unlock premium access,Misdirection
Unlock your gift,Misdirection
Unsubscribe from benefits,Misdirection
Update membership details,Misdirection
Update preferences,Misdirection
Upgrade for bonuses,Misdirection
Upgrade for even more,Misdirection
Upgrade now,Misdirection
Upgrade or downgrade,Misdirection
User data enhancement,Misdirection
User settings,Misdirection
Verify your account,Misdirection
View details,Misdirection
View offer,Misdirection
View recommendations,Misdirection
VIP access only,Misdirection
While supplies last,Misdirection
Why not stay?,Misdirection
X people are viewing this,Misdirection
"Yes, continue",Misdirection
"Yes, enroll",Misdirection
"Yes, I agree",Misdirection
"Yes, I want this",Misdirection
"Yes, keep me subscribed",Misdirection
"Yes, stay signed in",Misdirection
You accept by continuing,Misdirection
You deserve better,Misdirection
You may also like,Misdirection
You qualify for this,Misdirection
You won√≠t believe this,Misdirection
You√≠ll regret this,Misdirection
You√≠ve won!,Misdirection
Your account needs attention,Misdirection
Your prize is waiting,Misdirection
Your profile needs updating,Misdirection
You're about to miss out,Misdirection
Zero initial charges,Misdirection
Act Now,Scarcity
Additional Charges,Scarcity
Additional Expenses,Scarcity
Additional Fees,Scarcity
Ahead of the Curve,Scarcity
Almost Gone,Scarcity
At Once,Scarcity
Automatic Renewal,Scarcity
Auto-Renewal,Scarcity
Bestseller,Scarcity
Cancellation Fees,Scarcity
Countdown Timer,Scarcity
Few Remaining,Scarcity
Few Left,Scarcity
Disappearing,Scarcity
Don't Miss Out,Scarcity
Essential,Scarcity
Everybody Wants One,Scarcity
Everyone's Talking About It,Scarcity
Exclusive,Scarcity
Exclusivity,Scarcity
Exhausted,Scarcity
Fading,Scarcity
Few Remaining,Scarcity
Final Hours,Scarcity
Final Opportunity,Scarcity
FOMO,Scarcity
Framing Effect,Scarcity
Free Trial,Scarcity
Gone,Scarcity
Hard to Find,Scarcity
Hard-to-Come-By,Scarcity
High Demand,Scarcity
Hot Commodity,Scarcity
Hurry Up,Scarcity
Immediate,Scarcity
Immediate Action Required,Scarcity
In Short Supply,Scarcity
In-Demand,Scarcity
In-Demand Item,Scarcity
Instant,Scarcity
It's the Talk of the Town,Scarcity
Last Call,Scarcity
Last Chance,Scarcity
Limited Availability,Scarcity
Limited Edition,Scarcity
Limited Stock,Scarcity
Limited Time,Scarcity
Many Customers Are Buying,Scarcity
Masked,Scarcity
Momentary,Scarcity
Must-Have,Scarcity
Must-Have Accessory,Scarcity
Need,Scarcity
Not Available for Long,Scarcity
Now or Never,Scarcity
Once in a Lifetime,Scarcity
One-Time Offer,Scarcity
Only a Few Left,Scarcity
Opportunity Cost,Scarcity
Out-of-Stock,Scarcity
Passing,Scarcity
Perishable,Scarcity
Popular,Scarcity
Pressing,Scarcity
Quickly,Scarcity
Quickly Disappearing,Scarcity
Rapidly,Scarcity
Rare,Scarcity
Recurring Charges,Scarcity
Regret Avoidance,Scarcity
Right Away,Scarcity
Seasonal,Scarcity
Seize the Moment,Scarcity
Shipping and Handling,Scarcity
Short-Lived,Scarcity
Small Quantity,Scarcity
No more stock,Scarcity
Sold Out,Scarcity
Surcharges,Scarcity
Ticking Clock,Scarcity
Time is Running Out,Scarcity
Time-Sensitive,Scarcity
Trending,Scarcity
Unavailable,Scarcity
Uncertain,Scarcity
Unclear,Scarcity
Vanishing,Scarcity
Vital,Scarcity
Want,Scarcity
While Supplies Last,Scarcity
Yearning,Scarcity
[X]% Off On Select Range,Misdirection
Extra [X]% Off* On Select Range,Misdirection
[X]% OFF* FOR CLUB MEMBERS FLAT,Misdirection
[X]% OFF* FOR ALL USERS,Misdirection
Get Cashback Worth [X],Misdirection
Check If You Prequalify,Misdirection
No prescription needed,Misdirection
Without a prescription,Misdirection
non-prescription option,Misdirection
start saving (exclusions apply).,Misdirection
Lifetime Membership for $[X] to save [X]%,Misdirection
the world�s best fat burner,Misdirection
Dispatches in Go,Misdirection
You have a mystery discount,Misdirection
Claim Mystery Discount,Misdirection
May not be exactly as pictured,Misdirection
forever must-have for,Social Proof
TRUSTED 100% GENUINE PRODUCT QUALITY CHECKED,Social Proof
"Go on, babe, you know you want me (in your inbox)",Social Proof
Buyer Helpful [X] People found this,Social Proof
Verified Buyer Helpful [X] People,Social Proof
[X] Customer Reviews,Social Proof
[X] people have favorited this,Social Proof
Customers Who Bought this Item Also Bought,Social Proof
Highly Recommended,Social Proof
Trusted by millions,Social Proof
In High Demand,Social Proof
[X] people bought this in the last [x] days,Social Proof
[X]M People like this,Social Proof
Customers also purchased Customers who bought this also chose these,Social Proof
Customers Also Like BEST SELLER,Social Proof
Someone just added [X] to their cart [X] hour ago,Social Proof
Review this Product and go in the draw to win [X],Social Proof
[X]+ sold in last month,Social Proof
Submitted as part of a [X] entry,Social Proof
[X] people are viewing this right now,Social Proof
[X]+ sold in last 24 hours,Social Proof
in stock: [X] units,Social Proof
[X] views,Social Proof
[X] watching,Social Proof
[X] people added this style to their bag,Social Proof
Hurry only a few left,Scarcity
[X] units left,Scarcity
Only few units left,Scarcity
Only [X] units left,Scarcity
Sold Out,Scarcity
[X] pieces in stock,Scarcity
Lost Forever,Scarcity
Limited Color,Scarcity
[X] added to bag in the last 24 hours,Scarcity
Only [X] left in stock,Scarcity
Low Stock,Scarcity
[X] item left,Scarcity
XXS (ONLY 1 LEFT) XS -,Scarcity
Lowest Price in last [X] days,Scarcity
Only [X] available,Scarcity
this won�t last long,Scarcity
"Limited Edition release, with only 45",Scarcity
Get it while you can: Available only here,Scarcity
Limited stocks are left order fast,Scarcity
Almost Gone,Scarcity
Selling fast only [X] remaining,Scarcity
This deal won't last long,Scarcity
Going fast,Urgency
Order within [X] hrs [X] mins.,Urgency
fastest delivery tomorrow,Urgency
Available till [X] Only!!,Urgency
Sale is Live Exclusively for Bangalore!,Urgency
Available till 31st July Only!!,Urgency
if ordered within 10 hours 52,Urgency
Hurry! Low inventory,Urgency
Grab Yours Today,Urgency
TODAY ONLY FREE SHIPPING SITEWIDE,Urgency
LAST CHANCE FOR SUMMER SALE,Urgency
Deals end in [X],Urgency
Ships [X] if ordered TODAY,Urgency
Ends [X],Urgency
20 : 00 Days : 00 Hrs : 00 Min : 00,Urgency
Today's Deal : Lowest Price,Urgency
Don't miss out. Shop Now,Urgency
Order Before 12pm AEST for Same Day Dispatch.,Urgency
Dispatch by [X] if ordered by today,Urgency
order today,Urgency
Buy in the next [X] hours,Urgency
Free local delivery ends [X],Urgency
Be quick to order,Urgency
Lock in your low prices now,Urgency
Flash Sale: [X] hours only,Urgency
Limited time offer expires [X],Urgency
10% Off On Select Range,Misdirection
20% Off On Select Range,Misdirection
30% Off On Select Range,Misdirection
40% Off On Select Range,Misdirection
50% Off On Select Range,Misdirection
60% Off On Select Range,Misdirection
70% Off On Select Range,Misdirection
Extra 10% Off* On Select Range,Misdirection
Extra 20% Off* On Select Range,Misdirection
Extra 30% Off* On Select Range,Misdirection
Extra 40% Off* On Select Range,Misdirection
Extra 50% Off* On Select Range,Misdirection
Extra 60% Off* On Select Range,Misdirection
Extra 70% Off* On Select Range,Misdirection
10% OFF* FOR CLUB MEMBERS FLAT,Misdirection
20% OFF* FOR CLUB MEMBERS FLAT,Misdirection
30% OFF* FOR CLUB MEMBERS FLAT,Misdirection
40% OFF* FOR CLUB MEMBERS FLAT,Misdirection
50% OFF* FOR CLUB MEMBERS FLAT,Misdirection
60% OFF* FOR CLUB MEMBERS FLAT,Misdirection
70% OFF* FOR CLUB MEMBERS FLAT,Misdirection
10% OFF* FOR ALL USERS,Misdirection
20% OFF* FOR ALL USERS,Misdirection
30% OFF* FOR ALL USERS,Misdirection
40% OFF* FOR ALL USERS,Misdirection
50% OFF* FOR ALL USERS,Misdirection
60% OFF* FOR ALL USERS,Misdirection
70% OFF* FOR ALL USERS,Misdirection
Get Cashback Worth ₹50,Misdirection
Get Cashback Worth ₹100,Misdirection
Get Cashback Worth ₹200,Misdirection
Get Cashback Worth ₹500,Misdirection
Get Cashback Worth ₹750,Misdirection
"Get Cashback Worth ₹1,000",Misdirection
"Get Cashback Worth ₹1,500",Misdirection
Check If You Prequalify,Misdirection
No prescription needed,Misdirection
Without a prescription,Misdirection
non-prescription option,Misdirection
start saving (exclusions apply),Misdirection
Lifetime Membership for $29 to save 40%,Misdirection
Lifetime Membership for $49 to save 50%,Misdirection
Lifetime Membership for $79 to save 60%,Misdirection
Lifetime Membership for $99 to save 65%,Misdirection
Lifetime Membership for $149 to save 70%,Misdirection
Lifetime Membership for $199 to save 75%,Misdirection
Lifetime Membership for $249 to save 80%,Misdirection
the world's best fat burner,Misdirection
Dispatches in Go,Misdirection
You have a mystery discount,Misdirection
Claim Mystery Discount,Misdirection
May not be exactly as pictured,Misdirection
Most popular choice,Misdirection
Best value,Misdirection
Our recommendation for you,Misdirection
Smart Choice,Misdirection
Smart Pick,Misdirection
Starting from ₹149,Misdirection
Starting from ₹199,Misdirection
Starting from ₹249,Misdirection
Starting from ₹299,Misdirection
Starting from ₹399,Misdirection
Starting from ₹499,Misdirection
Starting from ₹599,Misdirection
